Protokol;Eþ Zamanlý Kullanýcý;Payload Boyutu;Ortalama Yanýt Süresi;CPU Kullanýmý(%);Hata Oraný(%)
REST;50;1KB;2,15;3,5;0
REST;50;10KB;2,45;5;0
REST;50;100KB;7,8;7,5;0
REST;100;1KB;2,85;5,5;0
REST;100;10KB;3,45;8;0
REST;100;100KB;18,2;10;0
REST;500;1KB;25,4;11,5;1,65
REST;500;10KB;32,1;11;1,6
REST;500;100KB;101;10,5;1,55
gRPC;50;1KB;1,95;13;0
gRPC;50;10KB;2,1;12;0
gRPC;50;100KB;5,2;17;0
gRPC;100;1KB;2,4;11;0
gRPC;100;10KB;2,8;12;0
gRPC;100;100KB;11,5;17;0
gRPC;500;1KB;198;17;1,7
gRPC;500;10KB;215;15;1,62
gRPC;500;100KB;245;18;1,58
WebSocket;50;1KB;8,4;23;0
WebSocket;50;10KB;14,5;35;18,78
WebSocket;50;100KB;42;24;0
WebSocket;100;1KB;22,1;48;26,47
WebSocket;100;10KB;12,5;15;0
WebSocket;100;100KB;98;58;30,75
WebSocket;500;1KB;210;70;22,04
WebSocket;500;10KB;590,09;75;5,6
WebSocket;500;100KB;850;80;47,39
